mood,track_name,artist,track_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
sad,"i hate u, i love u (feat. olivia o'brien)",Various Artists,2DIfgc8jdy5KYu5WGunaiF,0.685,0.493,0.275,0,6,0.101,-13.4,0,0.3,92.674,4,0.18
sad,Fix You,Various Artists,0V3ohSXpuUXXDC5O37m3NM,0.164,0.209,0.417,0.00196,3,0.113,-8.74,1,0.0338,138.178,4,0.124
sad,Skinny Love,Various Artists,5rRaRffQnxMnRhKWuptIrm,0.962,0.37,0.331,0.00879,4,0.114,-7.27,1,0.0476,165.454,4,0.171
sad,everything i wanted,Billie Eilish,3ZCTVFBt2Brf31RLEnCkWJ,0.902,0.704,0.225,0.657,6,0.106,-14.454,0,0.0994,120.006,4,0.243
sad,Chasing Cars,Sleeping At Last,2d7LPtieXdIYzf7yHPooWd,0.974,0.467,0.157,1.46E-06,11,0.0816,-9.649,1,0.0336,108.13,4,0.277
sad,i love you,Billie Eilish,6CcJMwBtXByIz4zQLzFkKc,0.952,0.421,0.131,0.00453,0,0.109,-18.435,1,0.0382,137.446,4,0.12
sad,Touch,Sleeping At Last,4g2WiijzSKzH8PApKDbadN,0.955,0.415,0.104,3.79E-06,0,0.104,-11.83,1,0.0426,82.006,3,0.18
sad,when the party's over,Billie Eilish,43zdsphuZLzwA9k4DJhU0I,0.978,0.367,0.111,3.97E-05,4,0.0897,-14.084,1,0.0972,82.642,4,0.198
sad,Your Power,Billie Eilish,5qNh5WtzMbfpSj2jLlBkoD,0.937,0.634,0.285,0.000359,9,0.232,-14.007,0,0.0807,129.65,4,0.203
sad,Another Love,Tom Odell,3JvKfv6T31zO0ini8iNItO,0.695,0.445,0.537,1.65E-05,4,0.0944,-8.532,0,0.04,122.769,4,0.131
sad,Someone To Stay,Vancouver Sleep Clinic,7tMbZ0RGW0jFsBw7ipEPEV,0.588,0.436,0.473,4.35E-05,1,0.103,-7.24,1,0.0307,108.906,4,0.242
sad,Easy On Me,Adele,0gplL1WMoJ6iYaPgMCL0gX,0.578,0.604,0.366,0,5,0.133,-7.519,1,0.0282,141.981,4,0.13
sad,Arcade,Duncan Laurence,1J14CdDAvBTE1AJYUOwl6C,0.827,0.453,0.35,0.00122,9,0.144,-11.639,0,0.0425,72.017,3,0.279
sad,Let Me Down Slowly,Alec Benjamin,2uaiyLKnYvazyfR0Ky3Kbk,0.733,0.649,0.548,0,1,0.136,-5.692,0,0.0318,150.036,4,0.506
sad,I Fall Apart,Post Malone,75ZvA4QfFiZvzhj2xkaWAh,0.0689,0.556,0.538,0,8,0.196,-5.408,0,0.0382,143.95,4,0.291
sad,Love In The Dark,Adele,7B5Npv8NjjTCzk8PLpU66h,0.528,0.331,0.341,0,9,0.109,-6.057,0,0.0309,109.821,4,0.152
sad,traitor,Olivia Rodrigo,5CZ40GBx1sQ9agT82CLQCT,0.691,0.38,0.339,0,3,0.12,-7.885,1,0.0338,100.607,4,0.0849
sad,drivers license,Olivia Rodrigo,5wANPM4fQCJwkGd4rN57mH,0.768,0.561,0.431,1.42E-05,10,0.106,-8.81,1,0.0578,143.875,4,0.137
sad,Lover of Mine,John Vincent III,5wejUto9orDIV7g8eb6VZ6,0.513,0.422,0.269,0.000212,8,0.203,-9.457,1,0.0359,111.884,3,0.052
sad,Medicine,Daughter,4TxJQDtvYHJcOBH6ONi6q2,0.106,0.166,0.298,0.206,3,0.572,-12.439,1,0.032,78.437,5,0.207
sad,this is me trying,Taylor Swift,7kt9e9LFSpN1zQtYEl19o1,0.314,0.515,0.476,4.74E-05,9,0.171,-9.843,1,0.0328,135.886,4,0.412
sad,Before You Go,Lewis Capaldi,2gMXnyrvIjhVBUZwvLZDMP,0.604,0.459,0.575,0,3,0.0885,-4.858,1,0.0573,111.881,4,0.183
sad,Someone You Loved,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,0.751,0.501,0.405,0,1,0.105,-5.679,1,0.0319,109.891,4,0.446
